iter	Passed	Remaining
411	3963	92228
412	3978	92363
413	3994	92499
414	4010	92621
415	4025	92744
416	4038	92813
417	4050	92848
418	4062	92894
419	4076	92989
420	4090	93081
421	4104	93163
422	4116	93209
423	4128	93245
424	4142	93320
425	4155	93390
426	4167	93440
427	4180	93487
428	4194	93585
429	4208	93653
430	4221	93730
431	4234	93794
432	4246	93828
433	4260	93906
434	4273	93963
435	4301	94350
436	4314	94420
437	4326	94460
438	4339	94511
439	4352	94573
440	4365	94615
441	4377	94652
442	4390	94707
443	4407	94859
444	4420	94917
445	4433	94980
446	4445	95004
447	4457	95043
448	4470	95104
449	4484	95163
450	4496	95208
451	4508	95235
452	4524	95344
453	4538	95418
454	4551	95485
455	4564	95536
456	4576	95571
457	4589	95612
458	4602	95671
459	4615	95727
460	4629	95784
461	4641	95823
462	4654	95878
463	4667	95932
464	4681	95991
465	4693	96020
466	4705	96053
467	4718	96102
468	4731	96154
469	4745	96222
470	4757	96242
471	4770	96290
472	4782	96334
473	4796	96395
474	4810	96470
475	4822	96485
476	4837	96575
477	4850	96624
478	4864	96694
479	4876	96723
480	4888	96749
481	4901	96787
482	4914	96842
483	4928	96896
484	4943	96990
485	4955	97011
486	4968	97056
487	4983	97134
488	4996	97179
489	5010	97246
490	5022	97274
491	5034	97298
492	5049	97377
493	5063	97430
494	5076	97475
495	5087	97490
496	5100	97517
497	5113	97568
498	5126	97616
499	5139	97642
500	5154	97736
501	5166	97755
502	5179	97799
503	5194	97874
504	5207	97918
505	5219	97940
506	5231	97962
507	5246	98037
508	5260	98095
509	5273	98132
510	5285	98149
511	5297	98175
512	5311	98218
513	5324	98264
514	5337	98302
515	5349	98320
516	5364	98406
517	5378	98447
518	5391	98491
519	5404	98519
520	5415	98536
521	5428	98571
522	5442	98611
523	5455	98651
524	5469	98705
525	5481	98724
526	5493	98753
527	5508	98811
528	5521	98853
529	5533	98871
530	5546	98898
531	5561	98974
532	5574	99012
533	5589	99077
534	5603	99136
535	5615	99150
536	5627	99169
537	5640	99207
538	5654	99249
539	5666	99264
540	5680	99322
541	5692	99336
542	5705	99375
543	5718	99408
544	5731	99432
545	5742	99440
546	5757	99493
547	5770	99536
548	5784	99579
549	5796	99589
550	5808	99614
551	5821	99648
552	5835	99687
553	5847	99706
554	5860	99725
555	5872	99748
556	5885	99779
557	5900	99838
558	5911	99847
559	5923	99860
560	5937	99900
561	5950	99934
562	5962	99947
563	5975	99973
564	5992	100067
565	6005	100092
566	6017	100113
567	6030	100137
568	6041	100140
569	6054	100168
570	6067	100187
571	6079	100200
572	6090	100204
573	6106	100272
574	6119	100299
575	6132	100332
576	6145	100356
577	6157	100369
578	6169	100387
579	6182	100414
580	6196	100450
581	6210	100496
582	6222	100509
583	6235	100532
584	6249	100574
585	6262	100608
586	6275	100626
587	6287	100636
588	6300	100676
589	6314	100718
590	6328	100758
591	6340	100768
592	6352	100779
593	6366	100805
594	6379	100843
595	6395	100909
596	6407	100919
597	6421	100964
598	6434	100978
599	6447	101009
600	6460	101037
601	6473	101055
602	6485	101066
603	6499	101100
604	6513	101141
605	6527	101185
606	6539	101200
607	6551	101210
608	6564	101231
609	6578	101264
610	6590	101277
611	6602	101276
612	6615	101298
613	6629	101340
614	6642	101373
615	6655	101382
616	6666	101383
617	6679	101409
618	6693	101439
619	6705	101452
620	6717	101450
621	6732	101513
622	6746	101543
623	6759	101568
624	6772	101592
625	6788	101651
626	6800	101655
627	6812	101668
628	6827	101720
629	6841	101753
630	6853	101755
631	6864	101749
632	6876	101760
633	6889	101780
634	6901	101782
635	6912	101781
636	6925	101796
637	6938	101813
638	6951	101837
639	6963	101837
640	6976	101866
641	6990	101895
642	7002	101896
643	7013	101886
644	7025	101894
645	7037	101900
646	7050	101920
647	7061	101912
648	7073	101923
649	7086	101940
650	7097	101928
651	7109	101925
652	7121	101936
653	7133	101935
654	7146	101961
655	7158	101963
656	7170	101975
657	7186	102030
658	7197	102020
659	7208	102012
660	7220	102020
661	7231	102008
662	7242	101999
663	7255	102015
664	7268	102031
665	7278	102013
666	7290	102011
667	7302	102010
668	7312	101993
669	7323	101982
670	7336	101994
671	7347	101984
672	7360	102003
673	7371	101996
674	7383	102006
675	7394	101985
676	7404	101972
677	7416	101972
678	7427	101956
679	7438	101951
680	7450	101952
681	7462	101962
682	7476	101983
683	7487	101981
684	7499	101985
685	7510	101970
686	7520	101953
687	7533	101967
688	7544	101960
689	7555	101945
690	7569	101974
691	7582	101988
692	7595	102004
693	7606	101990
694	7617	101984
695	7629	101989
696	7640	101973
697	7651	101965
698	7662	101963
699	7675	101968
700	7686	101958
701	7697	101953
702	7708	101940
703	7719	101930
704	7731	101941
705	7743	101937
706	7753	101920
707	7765	101919
708	7777	101916
709	7790	101931
710	7800	101915
711	7813	101929
712	7824	101921
713	7835	101905
714	7847	101907
715	7858	101901
716	7869	101880
717	7883	101912
718	7895	101919
719	7906	101908
720	7917	101894
721	7930	101905
722	7941	101904
723	7952	101886
724	7963	101879
725	7978	101912
726	7994	101966
727	8006	101974
728	8017	101955
729	8029	101964
730	8041	101959
731	8051	101943
732	8063	101938
733	8074	101931
734	8085	101917
735	8098	101941
736	8110	101942
737	8122	101933
738	8132	101920
739	8144	101916
740	8156	101913
741	8166	101897
742	8178	101896
743	8190	101890
744	8200	101870
745	8213	101891
746	8225	101887
747	8236	101876
748	8246	101858
749	8259	101862
750	8270	101859
751	8281	101839
752	8292	101831
753	8304	101833
754	8316	101830
755	8327	101821
756	8338	101815
757	8349	101800
758	8360	101788
759	8371	101782
760	8385	101800
761	8395	101783
762	8407	101783
763	8418	101776
764	8430	101774
765	8442	101768
766	8453	101764
767	8463	101741
768	8474	101729
769	8486	101724
770	8496	101707
771	8507	101697
772	8520	101703
773	8531	101697
774	8542	101680
775	8553	101677
776	8564	101664
777	8575	101650
778	8586	101643
779	8597	101626
780	8608	101610
781	8619	101606
782	8630	101594
783	8643	101605
784	8655	101602
785	8666	101597
786	8677	101578
787	8688	101572
788	8700	101567
789	8710	101551
790	8722	101554
791	8736	101570
792	8748	101571
793	8758	101554
794	8772	101576
795	8784	101572
796	8794	101556
797	8805	101541
798	8817	101539
799	8828	101522
800	8840	101530
801	8852	101524
802	8862	101509
803	8873	101491
804	8885	101487
805	8896	101478
806	8907	101465
807	8918	101459
808	8930	101455
809	8940	101438
810	8955	101464
811	8967	101468
812	8978	101461
813	8991	101467
814	9002	101456
815	9013	101450
816	9024	101430
817	9035	101428
818	9047	101426
819	9059	101420
820	9069	101403
821	9081	101399
822	9092	101387
823	9102	101370
824	9114	101366
825	9125	101351
826	9136	101337
827	9147	101330
828	9158	101322
829	9172	101340
830	9183	101326
831	9194	101319
832	9205	101302
833	9216	101289
834	9227	101284
835	9238	101271
836	9249	101256
837	9262	101269
838	9273	101261
839	9284	101242
840	9295	101235
841	9308	101239
842	9318	101224
843	9330	101220
844	9342	101219
845	9353	101203
846	9364	101195
847	9375	101188
848	9387	101187
849	9398	101171
850	9410	101172
851	9421	101163
852	9432	101146
853	9444	101144
854	9455	101132
855	9466	101121
856	9479	101131
857	9490	101126
858	9501	101109
859	9512	101102
860	9524	101098
861	9535	101080
862	9545	101065
863	9561	101101
864	9573	101099
865	9586	101114
866	9600	101128
867	9614	101148
868	9626	101151
869	9639	101161
870	9650	101145
871	9661	101135
872	9673	101130
873	9683	101112
874	9697	101128
875	9709	101127
876	9721	101123
877	9731	101106
878	9743	101100
879	9755	101102
880	9765	101083
881	9776	101070
882	9790	101091
883	9802	101088
884	9813	101074
885	9824	101064
886	9836	101057
887	9847	101044
888	9859	101042
889	9870	101035
890	9882	101028
891	9892	101011
892	9905	101014
893	9917	101019
894	9928	101002
895	9939	100996
896	9953	101012
897	9966	101016
898	9976	100998
899	9989	101002
900	10001	101006
901	10013	101004
902	10025	100994
903	10037	100996
904	10048	100982
905	10058	100963
906	10074	101004
907	10090	101033
908	10104	101054
909	10117	101068
910	10128	101054
911	10139	101037
912	10151	101034
913	10162	101021
914	10172	101006
915	10184	101001
916	10195	100984
917	10205	100968
918	10218	100973
919	10231	100984
920	10243	100981
921	10255	100976
922	10267	100970
923	10278	100957
924	10288	100940
925	10300	100934
926	10311	100924
927	10324	100928
928	10335	100919
929	10347	100915
930	10360	100918
931	10371	100915
932	10383	100911
933	10395	100903
934	10405	100887
935	10417	100882
936	10429	100874
937	10443	100898
938	10455	100891
939	10467	100885
940	10478	100879
941	10489	100862
942	10501	100863
943	10513	100856
944	10524	100841
945	10537	100854
946	10549	100853
947	10561	100846
948	10572	100830
949	10583	100818
950	10595	100814
951	10605	100797
952	10616	100785
953	10628	100776
954	10638	100757
955	10651	100770
956	10664	100767
957	10675	100757
958	10685	100739
959	10698	100742
960	10709	100734
961	10720	100716
962	10731	100708
963	10743	100703
964	10757	100723
965	10768	100705
966	10780	100700
967	10792	100700
968	10803	100685
969	10814	100670
970	10825	100661
971	10836	100649
972	10850	100661
973	10861	100655
974	10873	100647
975	10885	100644
976	10897	100642
977	10909	100637
978	10919	100621
979	10932	100623
980	10945	100625
981	10958	100631
982	10972	100646
983	10982	100629
984	10997	100651
985	11009	100647
986	11020	100633
987	11030	100618
988	11043	100617
989	11054	100611
990	11067	100610
991	11078	100595
992	11090	100591
993	11100	100571
994	11110	100556
995	11122	100548
996	11132	100531
997	11147	100551
998	11159	100543
999	11170	100533
1000	11182	100532
1001	11194	100524
1002	11206	100521
1003	11216	100503
1004	11227	100485
1005	11239	100488
1006	11250	100475
1007	11261	100458
1008	11274	100466
1009	11289	100485
1010	11300	100472
1011	11310	100454
1012	11322	100451
1013	11334	100448
1014	11345	100432
1015	11356	100422
1016	11368	100412
1017	11378	100393
1018	11392	100405
1019	11403	100396
1020	11414	100380
1021	11424	100363
1022	11437	100369
1023	11448	100354
1024	11458	100335
1025	11471	100333
1026	11482	100323
1027	11495	100327
1028	11506	100314
1029	11518	100307
1030	11528	100290
1031	11540	100283
1032	11553	100293
1033	11565	100286
1034	11576	100272
1035	11589	100281
1036	11601	100274
1037	11612	100258
1038	11622	100239
1039	11635	100246
1040	11647	100237
1041	11657	100220
1042	11669	100215
1043	11682	100214
1044	11692	100199
1045	11707	100218
1046	11718	100209
1047	11731	100213
1048	11742	100197
1049	11753	100186
1050	11766	100186
1051	11777	100173
1052	11788	100160
1053	11800	100156
1054	11812	100155
1055	11822	100135
1056	11835	100136
1057	11847	100131
1058	11857	100112
1059	11868	100099
1060	11881	100098
1061	11892	100087
1062	11906	100099
1063	11917	100088
1064	11931	100102
1065	11945	100113
1066	11955	100095
1067	11967	100085
1068	11980	100091
1069	11991	100082
1070	12005	100092
1071	12016	100081
1072	12028	100075
1073	12039	100058
1074	12049	100041
1075	12061	100032
1076	12072	100018
1077	12082	100003
1078	12094	99995
1079	12105	99979
1080	12118	99987
1081	12130	99978
1082	12141	99968
1083	12152	99953
1084	12164	99947
1085	12175	99936
1086	12185	99919
1087	12198	99919
1088	12210	99914
1089	12222	99907
1090	12232	99891
1091	12244	99884
1092	12255	99871
1093	12266	99856
1094	12278	99851
1095	12289	99843
1096	12300	99828
1097	12314	99836
1098	12328	99854
1099	12340	99844
1100	12350	99825
1101	12361	99815
1102	12373	99804
1103	12383	99783
1104	12393	99766
1105	12404	99750
1106	12415	99742
1107	12428	99745
1108	12440	99733
1109	12449	99710
1110	12461	99701
1111	12472	99691
1112	12482	99668
1113	12493	99655
1114	12505	99652
1115	12515	99633
1116	12529	99638
1117	12540	99627
1118	12551	99615
1119	12561	99597
1120	12573	99590
1121	12584	99574
1122	12594	99555
1123	12606	99549
1124	12617	99534
1125	12629	99533
1126	12640	99523
1127	12652	99515
1128	12662	99497
1129	12674	99491
1130	12686	99481
1131	12696	99464
1132	12707	99452
1133	12721	99457
1134	12732	99447
1135	12742	99428
1136	12754	99421
1137	12765	99406
1138	12775	99386
1139	12786	99376
1140	12797	99360
1141	12807	99340
1142	12818	99332
1143	12829	99313
1144	12842	99322
1145	12854	99313
1146	12865	99304
1147	12876	99286
1148	12887	99278
1149	12899	99266
1150	12909	99251
1151	12921	99241
1152	12932	99228
1153	12943	99219
1154	12953	99201
1155	12965	99190
1156	12975	99171
1157	12985	99155
1158	12997	99148
1159	13009	99137
1160	13020	99126
1161	13032	99122
1162	13044	99120
1163	13055	99104
1164	13067	99096
1165	13078	99084
1166	13088	99067
1167	13100	99060
1168	13114	99072
1169	13124	99054
1170	13135	99040
1171	13148	99038
1172	13159	99027
1173	13170	99014
1174	13182	99007
1175	13192	98991
1176	13203	98976
1177	13215	98967
1178	13226	98953
1179	13236	98936
1180	13249	98942
1181	13261	98936
1182	13272	98919
1183	13283	98906
1184	13294	98897
1185	13305	98881
1186	13316	98867
1187	13327	98858
1188	13338	98842
1189	13351	98848
1190	13363	98842
1191	13375	98833
1192	13385	98816
1193	13397	98807
1194	13408	98797
1195	13419	98780
1196	13430	98770
1197	13441	98760
1198	13452	98742
1199	13465	98745
1200	13477	98740
1201	13488	98725
1202	13498	98709
1203	13510	98705
1204	13523	98708
1205	13534	98690
1206	13546	98685
1207	13557	98673
1208	13568	98661
1209	13579	98645
1210	13590	98633
1211	13600	98611
1212	13610	98597
1213	13621	98584
1214	13631	98563
1215	13642	98552
1216	13653	98539
1217	13666	98534
1218	13677	98522
1219	13688	98514
1220	13699	98498
1221	13710	98487
1222	13722	98479
1223	13732	98463
1224	13743	98450
1225	13755	98443
1226	13766	98427
1227	13780	98435
1228	13791	98428
1229	13802	98415
1230	13813	98399
1231	13824	98389
1232	13836	98378
1233	13846	98361
1234	13858	98356
1235	13870	98350
1236	13881	98341
1237	13892	98325
1238	13906	98330
1239	13918	98328
1240	13929	98311
1241	13940	98299
1242	13951	98291
1243	13962	98277
1244	13975	98279
1245	13987	98269
1246	13999	98264
1247	14010	98253
1248	14021	98242
1249	14033	98233
1250	14044	98222
1251	14056	98212
1252	14067	98203
1253	14077	98185
1254	14091	98189
1255	14102	98180
1256	14113	98167
1257	14124	98151
1258	14135	98138
1259	14145	98121
1260	14156	98106
1261	14167	98096
1262	14178	98078
1263	14190	98079
1264	14202	98067
1265	14212	98050
1266	14222	98032
1267	14233	98020
1268	14244	98002
1269	14254	97988
1270	14266	97982
1271	14277	97970
1272	14291	97972
1273	14304	97976
1274	14316	97972
1275	14327	97959
1276	14338	97945
1277	14350	97939
1278	14362	97929
1279	14372	97914
1280	14384	97907
1281	14396	97899
1282	14408	97894
1283	14419	97880
1284	14431	97874
1285	14441	97857
1286	14453	97849
1287	14465	97843
1288	14476	97831
1289	14487	97815
1290	14500	97819
1291	14512	97810
1292	14522	97791
1293	14533	97778
1294	14545	97772
1295	14555	97757
1296	14567	97747
1297	14579	97740
1298	14590	97728
1299	14603	97729
1300	14614	97719
1301	14626	97711
1302	14636	97694
1303	14648	97689
1304	14660	97680
1305	14671	97665
1306	14683	97658
1307	14695	97657
1308	14706	97642
1309	14719	97642
1310	14730	97631
1311	14742	97626
1312	14753	97612
1313	14764	97596
1314	14776	97589
1315	14786	97575
1316	14797	97557
1317	14810	97557
1318	14823	97559
1319	14833	97542
1320	14845	97534
1321	14856	97523
1322	14867	97506
1323	14878	97497
1324	14890	97491
1325	14901	97474
1326	14911	97459
1327	14923	97449
1328	14934	97442
1329	14946	97430
1330	14957	97423
1331	14968	97409
1332	14979	97394
1333	14990	97380
1334	15000	97361
1335	15013	97359
1336	15025	97359
